Link Product Page,title,ID,image 1,image 2,image 3 ,image 4,image 5,image 6,image 7,image 8,image 9,image 10,image 11,image 12,image 13,image 14,image 15,image 16,image 17,image 18,image 19,image 20,image 21,image 22,image 23,image 24,image 25,image 26,image 27,image 28,image 29,image 30,image 31,image 32,image 33,image 34,image 35,image 36,image 37,image 40 ,,
https://www.amazon.ae/Necklace-Necklaces-Aesthetic-Accessories-Friendship/dp/B0B9FXB18C/ref=sr_1_11?qid=1686556425&s=fashion&sr=1-11,My Melody And Kuromi Necklace Bff Necklace For 2 Cute Necklaces Aesthetic Pendant Accessories Kawaii Friendship Bestie Best Friend Gift For Teen Girls,11,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif,"https://m.media-amazon.com/images/I/417RF3dyFJL._AC_SR38,50_.jpg","https://m.media-amazon.com/images/I/512KhkQ199L._AC_SR38,50_.jpg","https://m.media-amazon.com/images/I/41ATtUv6oYL._AC_SR38,50_.jpg","https://m.media-amazon.com/images/I/61gkskb0j7L._AC_SR38,50_.jpg","https://m.media-amazon.com/images/I/418zB+8QqJL._AC_SR38,50_.jpg","https://m.media-amazon.com/images/I/51fky0osNYL._AC_SR38,50_.jpg","https://m.media-amazon.com/images/I/41b5VmPsXTL._AC_SR38,50_.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.amazon.ae/Necklace-Bracelet-Deathly-Inspired-Collections/dp/B07VMYTMZM/ref=sr_1_12?qid=1686556425&s=fashion&sr=1-12,4 Piece Harry Potter Necklace Bracelet with The Deathly Hallows Golden Snitch Time Turner Chain Pendant Necklace for Harry Inspired Fans Gifts Collections,12,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif,https://m.media-amazon.com/images/I/41PWZkxLyLL._AC_US40_.jpg,https://m.media-amazon.com/images/I/41LKkd1mZ1L._AC_US40_.jpg,https://m.media-amazon.com/images/I/41zWqJRQUOL._AC_US40_.jpg,https://m.media-amazon.com/images/I/51mp1xqkfaL._AC_US40_.jpg,https://m.media-amazon.com/images/I/41c0I3U2YLL._AC_US40_.jpg,https://m.media-amazon.com/images/I/41DBHdviU7L._AC_US40_.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.amazon.ae/Genseion-Bracelets-Earrings-Necklace-Titanium/dp/B0B8QS27MD/ref=sr_1_13?qid=1686556425&s=fashion&sr=1-13,"Genseion Cute Simple 18k Gold Plated Lucky Clover Sets Bracelets Earrings Necklace Pendant for Women, Titanium steel, No Gemstone",13,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif,"https://m.media-amazon.com/images/I/41HPm-A2iwL._AC_SR38,50_.jpg","https://m.media-amazon.com/images/I/41CgyqIy4dL._AC_SR38,50_.jpg","https://m.media-amazon.com/images/I/413FJaePLwL._AC_SR38,50_.jpg","https://m.media-amazon.com/images/I/41Is4WOQ64L._AC_SR38,50_.jpg","https://m.media-amazon.com/images/I/41ueY-UsbOL._AC_SR38,50_.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.amazon.ae/Genseion-Bracelets-Necklace-Titanium-Gemstone/dp/B0B8QTLZ2T/ref=sr_1_14?qid=1686556425&s=fashion&sr=1-14,18k Gold Plated Lucky Clover Sets Bracelets Earring Necklace Pendant for Women Cute Simple Fashion Jewelry Womens Girls Gift,14,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif,"https://m.media-amazon.com/images/I/41xDgY4q7wL._AC_SR38,50_.jpg","https://m.media-amazon.com/images/I/41xDgY4q7wL._SX38_SY50_CR,0,0,38,50_.jpg","https://m.media-amazon.com/images/I/41gE12AsT8L._SX38_SY50_CR,0,0,38,50_.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.amazon.ae/Big-Little-Sister-Friendship-Necklace/dp/B07M7Y1R96/ref=sr_1_15?qid=1686556425&s=fashion&sr=1-15,Big and Little Sister Friendship Necklace Set of 2 Pcs - Best Friend Gift Necklace,15,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif,https://m.media-amazon.com/images/I/41X+tSoRHEL._AC_US40_.jpg,https://m.media-amazon.com/images/I/61B0I5tuAUL._AC_US40_.jpg,https://m.media-amazon.com/images/I/41N5++ENVUL._AC_US40_.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.amazon.ae/Crystals-Swarovski-Classic-Designer-Earrings/dp/B07WYM2WCZ/ref=sr_1_16?qid=1686556425&s=fashion&sr=1-16,Yellow Chimes Women's Crystals from Swarovski Classic Designer Plated Base Metal Stylish Hoop Earrings,16,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif,https://m.media-amazon.com/images/I/51Q66964lLL._AC_US40_.jpg,https://m.media-amazon.com/images/I/51E9k7sXymL._AC_US40_.jpg,https://m.media-amazon.com/images/I/41dZgvO7ikL._AC_US40_.jpg,https://m.media-amazon.com/images/I/51Q66964lLL._SS36_.jpg,https://m.media-amazon.com/images/I/51aH2-gQ8ML._SS36_.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.amazon.ae/Goody-1942512-Classics-Small-Multi-Colour/dp/B003YOVCLU/ref=sr_1_17?qid=1686556425&s=fashion&sr=1-17,"Goody 1942512 Classics Small Half Claw Clip, Multi-Colour ' 12 Units",17,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif,https://m.media-amazon.com/images/I/319rCVqdJaL._AC_US40_.jpg,https://m.media-amazon.com/images/I/315pmKzOXBL._AC_US40_.jpg,https://m.media-amazon.com/images/I/310joZGyh2L._AC_US40_.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.amazon.ae/Beautiful-Classic-Oxidized-Finishing-Piercing/dp/B0837NCX9N/ref=sr_1_18?qid=1686556425&s=fashion&sr=1-18,Yellow Chimes Beautiful Classic Designs 7 Pcs Combo Silver Oxidized Finishing Without Piercing Nose Pins for Women &amp; Girls,18,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif,https://m.media-amazon.com/images/I/41ohEHaUJIL._AC_US40_.jpg,https://m.media-amazon.com/images/I/41Nju7ADZWL._AC_US40_.jpg,https://m.media-amazon.com/images/I/417-Euu-n1L._AC_US40_.jpg,https://m.media-amazon.com/images/I/41S16UGH+CL._AC_US40_.jpg,https://m.media-amazon.com/images/I/51vLDk5xIgL._AC_US40_.jpg,https://m.media-amazon.com/images/I/51Osuw3ugAL._AC_US40_.jpg,https://m.media-amazon.com/images/I/41hAB9-H0KL._AC_US40_.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.amazon.ae/ROSENICE-Necklace-Adjustable-Heart-Shaped-Accessories/dp/B07YXVXBCV/ref=sr_1_19?qid=1686556425&s=fashion&sr=1-19,ROSENICE Leather Collar Necklace Adjustable Stylish Female Binding Clavicle Heart-Shaped Gothic Chain Choker Accessories (Black),19,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif,"https://m.media-amazon.com/images/I/31SAyr14lNL._AC_SR38,50_.jpg","https://m.media-amazon.com/images/I/31H61N7g82L._AC_SR38,50_.jpg","https://m.media-amazon.com/images/I/41nhXxB5I1L._AC_SR38,50_.jpg","https://m.media-amazon.com/images/I/41csU+dEenL._AC_SR38,50_.jpg","https://m.media-amazon.com/images/I/41sW7wP4rnL._AC_SR38,50_.jpg","https://m.media-amazon.com/images/I/31sjAyjS0AL._AC_SR38,50_.jpg","https://m.media-amazon.com/images/I/31mkC3ttqzL._AC_SR38,50_.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.amazon.ae/Crystal-Necklaces-Necklace-Hexagonal-Gemstone/dp/B09Y2RXRGD/ref=sr_1_20?qid=1686556425&s=fashion&sr=1-20,"3 Pieces Crystal Necklaces, Quartz Pendant Energy Healing Crystal Necklace Natural Hexagonal Gemstone Pendant for Women Girls",20,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif,"https://m.media-amazon.com/images/I/41j0b7+I9wL._AC_SR38,50_.jpg","https://m.media-amazon.com/images/I/411Hprm+8eL._AC_SR38,50_.jpg","https://m.media-amazon.com/images/I/41X5ozFVLbL._AC_SR38,50_.jpg","https://m.media-amazon.com/images/I/41F68g-GfbL._AC_SR38,50_.jpg","https://m.media-amazon.com/images/I/41i7pa2Wq-L._AC_SR38,50_.jpg","https://m.media-amazon.com/images/I/51fT9GRXCRL._AC_SR38,50_.jpg","https://m.media-amazon.com/images/I/61SO4bANIbL.SX38_SY50_CR,0,0,38,50_PKmb-play-button-overlay-thumb_.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
