Link Product Page,title,ID,Stars out of 5,Reviewer Count
https://www.amazon.ae/sspa/click?ie=UTF8&spc=MTo4NjY4MDMzOTU5MzcxMjM2OjE2ODY1NTY0MjU6c3BfbXRmX2Jyb3dzZToyMDE2NzA5Njc5NTU5ODo6MDo6&url=%2FBracelet-bracelet-Stainless-Zirconia-Adjustable%2Fdp%2FB0BC1TC9GM%2Fref%3Dsr_1_21_sspa%3Fqid%3D1686556425%26s%3Dfashion%26sr%3D1-21-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGZfYnJvd3Nl%26psc%3D1,Women Girls Charm Bracelet Harry Golden Potter Snitch bracelet Stainless steel Silver Wings Bracelet with Zirconia Ladies Jewelry Adjustable - Anniversary Birthday Gifts for girls woman,21,5,1
https://www.amazon.ae/sspa/click?ie=UTF8&spc=MTo4NjY4MDMzOTU5MzcxMjM2OjE2ODY1NTY0MjU6c3BfbXRmX2Jyb3dzZToyMDE2NzA5Njc5NTE5ODo6MDo6&url=%2FBracelets-Zirconia-Classic-Adjustable-Bracelet%2Fdp%2FB0BWW45WHH%2Fref%3Dsr_1_22_sspa%3Fqid%3D1686556425%26s%3Dfashion%26sr%3D1-22-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGZfYnJvd3Nl%26psc%3D1,Tennis Bracelets for Women White Black Cubic Zirconia Classic Adjustable Crystal Slider Plated Silver Bracelet Fashion Jewelry Wedding Gift for Girls Women Wife Mom,22,No reviewer,No reviewer
https://www.amazon.ae/sspa/click?ie=UTF8&spc=MTo4NjY4MDMzOTU5MzcxMjM2OjE2ODY1NTY0MjU6c3BfbXRmX2Jyb3dzZToyMDEyMDcwMzU1NTE5ODo6MDo6&url=%2FEstele-Plated-Chunky-Boxes-Bracelet%2Fdp%2FB08CZXZRJJ%2Fref%3Dsr_1_23_sspa%3Fqid%3D1686556425%26s%3Dfashion%26sr%3D1-23-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGZfYnJvd3Nl%26psc%3D1,Estele Gold Plated Chunky Boxes Bracelet,23,3.6,8
https://www.amazon.ae/sspa/click?ie=UTF8&spc=MTo4NjY4MDMzOTU5MzcxMjM2OjE2ODY1NTY0MjU6c3BfbXRmX2Jyb3dzZToyMDE2MTM0NzAwNTg5ODo6MDo6&url=%2FRINGJEWEL-Silver-Moissanite-Earrings-Clarity%2Fdp%2FB0765RVRH6%2Fref%3Dsr_1_24_sspa%3Fqid%3D1686556425%26s%3Dfashion%26sr%3D1-24-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGZfYnJvd3Nl%26psc%3D1,"RINGJEWEL Silver Plated Round Real Moissanite Stud Earrings (4.42 Ct,Black Color,Opaque Clarity), Moissanite",24,3,1
https://www.amazon.ae/Luxury-Fashion-Jewelry-Bracelet-Stainless/dp/B0B7GWRN78/ref=sr_1_25?qid=1686556425&s=fashion&sr=1-25,Stainless Steel Women Bracelets (cross shape),25,3.8,12
https://www.amazon.ae/f3-Unisex-Bracelet-Black-Free-Size/dp/B07MCMPJFM/ref=sr_1_26?qid=1686556425&s=fashion&sr=1-26,"f3 Unisex Bracelet (Black, Free-Size)",26,3.2,18
https://www.amazon.ae/Adjustable-Waterproof-Friendship-Relationship-Girlfriend/dp/B09T9JK71D/ref=sr_1_27?qid=1686556425&s=fashion&sr=1-27,"2 PCS Yin Yang Bracelets, Matching Couple Cord Bracelet, Adjustable Waterproof Handmade, for Best Friend Friendship Relationship Bracelets, Gift for Girlfriend, Boyfriend to Chistmas,Valentines",27,4.5,2
https://www.amazon.ae/Yellow-Elegant-Butterfly-Crystal-Earrings/dp/B08F72TYQY/ref=sr_1_28?qid=1686556425&s=fashion&sr=1-28,Yellow Chimes Elegant Butterfly Crystal Silver Plated Clip-on Earrings for Women and Girls,28,3.9,410
https://www.amazon.ae/Shoulder-Cascade-Bachelorette-Decorations-Supplies/dp/B07MWJG26H/ref=sr_1_29?qid=1686556425&s=fashion&sr=1-29,Party Bride to Be Satin Sash &amp; Shoulder Length Veil White Double Ribbon Edge Center Cascade Bridal Wedding Veil with Comb&amp; Bride to Be Satin Sash- Bachelorette Party Decorations Supplies,29,4.9,20
https://www.amazon.ae/Yellow-Chimes-Oxidized-Chandbali-Earring/dp/B07MCCN1YY/ref=sr_1_30?qid=1686556425&s=fashion&sr=1-30,Yellow Chimes Modern Fusion Oxidized silver Alloy Chandbali Earring for Women and Girls,30,4,340
https://www.amazon.ae/Necklace-Preserved-Girlfriend-Valentines-Anniversary/dp/B0BBH31NHS/ref=sr_1_31?qid=1686556425&s=fashion&sr=1-31,"Gifts for Women, Eternal Rose with Necklace, Preserved Flower with Pendant, Jewelry Gifts for Wife, Mother, Girlfriend on Valentine's Day, Birthday, Anniversary, Mother's Day",31,3.5,3
https://www.amazon.ae/Ricjurzzty-Butterfly-Necklaces-Friendship-Necklace/dp/B0B57HTCDH/ref=sr_1_32?qid=1686556425&s=fashion&sr=1-32,"Ricjurzzty 2 PCS Butterfly BFF Necklaces, Enamel Butterfly Friendship Necklaces Best Friends Necklace for Teen Girls Women Best Friend Birthday Gift",32,3.3,8
https://www.amazon.ae/Necklace-Pendant-Friendship-Birthday-Valentine/dp/B0BHZBBT97/ref=sr_1_33?qid=1686556425&s=fashion&sr=1-33,"Best Friend Necklace, Half Heart Pendant, Friendship Necklace, BFF Necklace for Valentine Heart Necklace, Sister Necklace Set Jewelry Birthday Valentine Gift for friend",33,4.8,7
https://www.amazon.ae/ORiTi-Surgical-Stainless-Earrings-Hypoallergenic/dp/B09F8PVGCL/ref=sr_1_34?qid=1686556425&s=fashion&sr=1-34,ORiTi 316L Surgical Stainless Steel Stud Earrings Set Small Hoop Earrings Hypoallergenic Tunnel Punk Style Round Ear Piercing Jewelry for Women Mens,34,4.1,21
https://www.amazon.ae/Silver-Friendship-Necklace-friends-forever/dp/B07NDPGWKN/ref=sr_1_35?qid=1686556425&s=fashion&sr=1-35,Alloy Silver Friendship Necklace (best friends forever and ever),35,3.3,17
https://www.amazon.ae/Piercing-Disposable-Earring-Contain-Supplies/dp/B0BFJ6HL1Q/ref=sr_1_36?qid=1686556425&s=fashion&sr=1-36,"Ear Piercing Kit, 4Pack Disposable Self Ear Piercing Gun with Earring Studs, Contain Clean Tool and Piercing Gun(4mm), No Pain Piercing Tool and Piercing Supplies, Silver",36,4.6,3
https://www.amazon.ae/Designer-Zirconia-Bracelet-350Swan-Ycfjbr-350Swan-Bl/dp/B0786J5WVJ/ref=sr_1_37?qid=1686556425&s=fashion&sr=1-37,Yellow Chimes Swan Designer By Yellow Chimes Silver Plated And Cubic Zirconia Charm Bracelet For Women (Blue)(Ycfjbr 350Swan Bl) (Ycfjbr-350Swan-Bl),37,4,558
https://www.amazon.ae/Swarovski-Elements-Sterling-Pendent-Necklace/dp/B07MG8RT4Y/ref=sr_1_38?qid=1686556425&s=fashion&sr=1-38,Swarovski Elements 925 Sterling Silver Pendent Necklace for Women Gift JRosee Jewelry,38,4.2,785
https://www.amazon.ae/Yellow-Chimes-Earrings-Silver-Stainless/dp/B07V6XZGXC/ref=sr_1_39?qid=1686556425&s=fashion&sr=1-39,Yellow Chimes Combo of 3 Pairs Big Hoop Earrings Silver Gold Rose Gold Stainless Steel Ear rings for Women and Girls,39,4.2,"1,978"
https://www.amazon.ae/Choker-Necklaces-Velvet-Stretch-Necklace/dp/B07MX6HTHD/ref=sr_1_40?qid=1686556425&s=fashion&sr=1-40,10 PCS Women Choker Necklaces Black Velvet Stretch Tattoo Choker Necklace Set for Girls,40,4.1,42
https://www.amazon.ae/Estele-plated-round-shaped-earrings/dp/B08CQ7VGGL/ref=sr_1_41?qid=1686556425&s=fashion&sr=1-41,Estele 24Kt Gold Plated Earings for Women,41,3.7,808
https://www.amazon.ae/Fazza-Wristband-Bangle-Bracelet-Unisex/dp/B08Z9XLPMH/ref=sr_1_42?qid=1686556425&s=fashion&sr=1-42,F3 Fazza Faz3 Wristband Rope Bangle Bracelet for Unisex (Light Grey),42,3.7,3
https://www.amazon.ae/Jaffiust-Layered-Rhinestone-Festive-Accessory/dp/B09ZGXZYK5/ref=sr_1_43?qid=1686556425&s=fashion&sr=1-43,Jaffiust Layered Body Chain Rhinestone Bra Chain Festive Summer Beach Bikini Accessory Jewelry for Women and Girls (Type B Gold),43,5,2
https://www.amazon.ae/Yellow-Chimes-Oxidised-Adjustable-Anklets/dp/B089KM3BWL/ref=sr_1_44?qid=1686556425&s=fashion&sr=1-44,Yellow Chimes Latest Trend 5 Pcs Combo Black Thread Knot with Oxidised Single Charms Adjustable Evil Eye Anklets for Women and Girls,44,3.9,"1,791"
https://www.amazon.ae/Rhinestone-Butterfly-Snowflake-Non-Piercing-Earrings/dp/B0B4FJ852D/ref=sr_1_45?qid=1686556425&s=fashion&sr=1-45,Glitter Rhinestone Butterfly Snowflake Ear Cuff 1 Pair Vintage Non-Piercing Fake Earrings Bridal Wedding Climber Ear Wrap Prom Ball Ear Jewelry for Women Girls,45,4.4,3
https://www.amazon.ae/Crystal-Pandora-Elements-Bracelet-Valentines/dp/B07NDQMN6X/ref=sr_1_46?qid=1686556425&s=fashion&sr=1-46,925 Silver Dangle Heart Crystal Beads Charms Pandora Elements Bracelet Valentines Gift,46,3.7,26
https://www.amazon.ae/DESIMTION-Mothers-Daughter-Bracelets-Matching/dp/B08Z3P6WLY/ref=sr_1_47?qid=1686556425&s=fashion&sr=1-47,"Desimtion Mothers Day Gifts,Mother Daughter Bracelets Set for 2,3,4,5,6.Matching Heart Back to School Bracelets for Mommy and Me Easter Gifts for Girl",47,4.2,10
https://www.amazon.ae/Yellow-Elegant-Crystal-Stylish-Earrings/dp/B07Q3GJVXD/ref=sr_1_48?qid=1686556425&s=fashion&sr=1-48,Yellow Chimes Elegant Crystal Drop Silver Tone Stylish Earrings for Women and Girls,48,3.4,586
https://www.amazon.ae/Fashion-Korean-Earrings-Titanium-Magnet/dp/B07MWYFQ76/ref=sr_1_49?qid=1686556425&s=fashion&sr=1-49,2 Pair Fashion Korean Men Stud Earrings Titanium Steel Magnet,49,3.8,21
https://www.amazon.ae/Multilayer-Bracelets-KASTWAVE-Crystal-Bracelet/dp/B09K3GBL4S/ref=sr_1_50?qid=1686556425&s=fashion&sr=1-50,"Multilayer Bracelets, KASTWAVE Crystal Charms Multilayer Bracelets, 3PCS Gold/Silver/Rose Gold Corn Chain Bracelet for Women, Tree of Life Heart Shaped Stretch Bracelet",50,3.5,9
https://www.amazon.ae/Bracelet-Friendship-Bracelets-Adjustable-Multicolore/dp/B0B3LN1533/ref=sr_1_51?qid=1686556425&s=fashion&sr=1-51,Wave Bracelet Braided Rope Friendship Braided Rope Bracelet for Women Colorful Handmade String Wrap Bracelets Adjustable Multicolore Cotton Woven Wrist Anklet Cord Bohemia Jewelry 12 Pcs,51,4.5,2
https://www.amazon.ae/ELECDON-Headband-Rhinestone-Headbands-Accessories/dp/B09HBYNJ4B/ref=sr_1_52?qid=1686556425&s=fashion&sr=1-52,"Silver Tiara, ELECDON Crowns Crystal Headband Princess Rhinestone Crown with Combs Bride Headbands Bridal Wedding Prom Birthday Party Hair Accessories Jewelry for Women Girls",52,4.1,9
https://www.amazon.ae/Stainless-Steel-Belly-Button-Piercing/dp/B07MVP7LJX/ref=sr_1_53?qid=1686556425&s=fashion&sr=1-53,5pcs Stainless Steel Belly Button Rings for Women Girls Navel Rings CZ Body Piercing,53,3.9,13
https://www.amazon.ae/Bivei-Natural-Precious-Gemstone-Bracelet/dp/B08Q7XGRL4/ref=sr_1_54?qid=1686556425&s=fashion&sr=1-54,Natural Semi Precious Gemstone Beads Bracelet for Women - Tree of Life and Leaf Charm Chakra Energy Healing Anxiety Stretch Bracelets,54,4.5,"1,216"
https://www.amazon.ae/FASHIONEEDA-Strongest-Commercial-Accessories-Shape-Set/dp/B09R63KXT5/ref=sr_1_55?qid=1686556425&s=fashion&sr=1-55,"FASHIONEEDA Hijab Pins Magnetic With Strongest Commercial Strength, Hijab Magnets for Women in Hijab Accessories and Pins for Scarf, No Snag Hijab Magnets (Round Shape-Set of 4)",55,4.4,24
https://www.amazon.ae/Personality-Design-Crystal-Pendant-Necklace/dp/B07MG7FR46/ref=sr_1_56?qid=1686556425&s=fashion&sr=1-56,Personality Wolf Tooth Design Black Crystal Pendant Necklace for Men &amp; Women,56,3.3,40
https://www.amazon.ae/sspa/click?ie=UTF8&spc=MTo4NjY4MDMzOTU5MzcxMjM2OjE2ODY1NTY0MjU6c3BfYnRmX2Jyb3dzZToyMDE2MTM0NzAwNTU5ODo6MDo6&url=%2FRINGJEWEL-Moissanite-Solitaire-Engagement-Silver%2Fdp%2FB06XYNP82Q%2Fref%3Dsr_1_57_sspa%3Fqid%3D1686556425%26s%3Dfashion%26sr%3D1-57-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGZfYnJvd3Nl%26psc%3D1,RINGJEWEL 3.18 ct VS1 Round Moissanite Solitaire Engagement Silver Plated Ring Off White Color Size 7,57,No reviewer,No reviewer
https://www.amazon.ae/sspa/click?ie=UTF8&spc=MTo4NjY4MDMzOTU5MzcxMjM2OjE2ODY1NTY0MjU6c3BfYnRmX2Jyb3dzZToyMDEyMDcwMzU1NDk5ODo6MDo6&url=%2FEstele-Toned-Bangle-Bracelet-Women%2Fdp%2FB08CSD5Z7D%2Fref%3Dsr_1_58_sspa%3Fqid%3D1686556425%26s%3Dfashion%26sr%3D1-58-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGZfYnJvd3Nl%26psc%3D1,Estele Gold Toned Bangle Type 1 Bracelet For Women,58,3.8,22
