Link Product Page,title,ID,   Current Price   ,Discount Percentage,   Price Before Discount   
https://www.amazon.ae/Butterfly-Earrings-Flowers-Earring-Piercing/dp/B0BLJWVFHP/ref=sr_1_54?qid=1686556435&s=fashion&sr=1-54,"Butterfly Tassel Style Zircon Earrings, Butterfly Flowers Tassel Long Earring, Shiny Zircon No Piercing Butterfly Ear Clip Jewelry Gifts for Women Girls (Golden Pair)",66, AED 43.16 ,No discount, AED 48.99 
https://www.amazon.ae/PAMP-BAR-SUISSE-24K-5GM/dp/B0BQZY4CQV/ref=sr_1_55?qid=1686556435&s=fashion&sr=1-55,PAMP BAR SUISSE 24K 5GM,67, AED 43.16 ,No discount," AED 1,500.00 "
https://www.amazon.ae/Handmade-Bracelets-Aesthetic-Bracelet-Accessories/dp/B0BXWSK4WX/ref=sr_1_56?qid=1686556435&s=fashion&sr=1-56,12 Pcs Handmade Boho Bracelets for Women Girls Braided Bracelets Ankle Bracelets Aesthetic Beach Surfer Women Men Bracelet Jewelry Accessories,68, AED 43.16 ,No discount, AED 39.99 
https://www.amazon.ae/Bracelets-Braided-Friendship-Adjustable-Bracelet/dp/B09W45FKWX/ref=sr_1_57?qid=1686556435&s=fashion&sr=1-57,Bracelets Braided Stretch Friendship Braided Rop Bracelets Set 24 Pcs Adjustable Wave Strand Bracelet Summer Anklet Bracelet Thread Bracelets Friendship Jewelry (8 Styles),69, AED 43.16 ,-10%, AED 62.91 
https://www.amazon.ae/Youbella-WomenS-Plated-Earrings-Jewellery/dp/B08KLNWGJL/ref=sr_1_58?qid=1686556435&s=fashion&sr=1-58,Youbella Girls/Women'S Gold Plated Combo Of 24 Stud Tops Earrings Jewellery (Golden),70, AED 43.16 ,-32%, AED 14.27 
https://www.amazon.ae/Friendship-Necklaces-Best-Friends-Forever/dp/B09WRLDBVY/ref=sr_1_59?qid=1686556435&s=fashion&sr=1-59,Friendship Necklaces Best Friends Forever: 3 Pcs BFF Necklaces Artificial Donut Shaped Pendant Necklace for Girls Students,71, AED 43.17 ,No discount, AED 37.99 
https://www.amazon.ae/YAZILIND-Colorful-Festival-Necklace-Gemstone/dp/B07W6YTSVH/ref=sr_1_60?qid=1686556435&s=fashion&sr=1-60,"YAZILIND Ethnic Style Chunky Colorful Collar Festival Tribal Beaded Bib Choker Costume Necklace, No Gemstone",72, AED 43.17 ,No discount, AED 39.00 
https://www.amazon.ae/Bracelet-Adjustable-Friendship-Boyfriend-Girlfriend/dp/B09WRLBQPB/ref=sr_1_61?qid=1686556435&s=fashion&sr=1-61,"Yin Yang Friend or Couple Bracelet with Necklace Set, 2 Pieces Matching Yin Yang Adjustable Cord Bracelet, 2 Pieces Yin Yang Couple Pendant Necklace Chain for Friendship Boyfriend Girlfriend",73, AED 43.17 ,-10%, AED 44.99 
https://www.amazon.ae/Crown-Bracelet-Black-Matte-Adjustable/dp/B07MWYPMFZ/ref=sr_1_62?qid=1686556435&s=fashion&sr=1-62,Men Crown King Bracelet Black Matte Agate Bracelet Adjustable 8MM Beads,74, AED 43.17 ,-6%, AED 14.99 
https://www.amazon.ae/ORiTi-Surgical-Stainless-Hypoallergenic-Cartilage/dp/B0999RN1TR/ref=sr_1_63?qid=1686556435&s=fashion&sr=1-63,ORiTi Surgical Stainless Steel Small Nose Hoop Earrings 8mm/10mm/12mm Hypoallergenic Earrings Cartilage Helix Lobes Hinged Sleeper Tiny Hoop Earrings Body Piercing Jewelry for Men and Women,75, AED 43.17 ,No discount, AED 37.00 
https://www.amazon.ae/Best-Friends-Gift-Necklace-Set/dp/B07MG5C6RQ/ref=sr_1_64?qid=1686556435&s=fashion&sr=1-64,Best Friends Gift Necklace Set of 2 - Heart Pendant with Rhinestones,76, AED 43.17 ,No discount, AED 32.00 
https://www.amazon.ae/Charming-Butterfly-Surgical-Earrings-Ycfjer-283Btrf-Rg/dp/B01LWQUG8X/ref=sr_1_65?qid=1686556435&s=fashion&sr=1-65,Yellow Chimes Charming Dual Butterfly Surgical Steel 18K Real Rose Gold Stud Earrings For Girls And Women (Rose Gold) (Ycfjer-283Btrf-Rg),77, AED 43.17 ,No discount, AED 16.52 
https://www.amazon.ae/Exquisite-Signature-Silicon-Stainless-Bracelet/dp/B07TW5VH28/ref=sr_1_66?qid=1686556435&s=fashion&sr=1-66,Yellow Chimes Unisex Silver Black Kpop BTS Band Exquisite Signature Jung Kook Silicon Chimes Silver Plated Stainless Steel Charm Bracelet,78, AED 43.17 ,No discount, AED 14.47 
https://www.amazon.ae/Friendship-Adjustable-Hand-Woven-Protection-Jewelry-Black/dp/B088K8C1CK/ref=sr_1_67?qid=1686556435&s=fashion&sr=1-67,The Woo's 2Pcs Evil Eye Bracelets Good Luck Pinky Promise Distance Matching Bracelets for Couple Friendship Family Adjustable Hand-Woven Cords Rope Thread Bracelet Protection Jewelry,79, AED 43.17 ,No discount, AED 39.00 
https://www.amazon.ae/Zaveri-Pearls-Jewellery-Golden-Zpfk6989/dp/B07C2389CW/ref=sr_1_68?qid=1686556435&s=fashion&sr=1-68,Zaveri Pearls Jewellery Set For Women (Golden)(Zpfk6989),80, AED 43.17 ,-7%, AED 37.00 
https://www.amazon.ae/Simple-Pendant-Necklace-Choker-Valentines/dp/B0B81VKKZ6/ref=sr_1_73?qid=1686556435&s=fashion&sr=1-73,"Simple Gold Love Heart Pendant Necklace Choker Chain Valentine's day Necklace for women, girls and teens.",85, AED 43.18 ,No discount, AED 12.45 
https://www.amazon.ae/Necklace-Artificial-Girlfriend-Birthday-Anniversary/dp/B093771JLS/ref=sr_1_74?qid=1686556435&s=fashion&sr=1-74,"2PCS Pearl Necklace Set, Artificial Pearl Necklace, Pearl Choker Necklace Charm Lady Girlfriend Wedding Birthday Anniversary",86, AED 43.18 ,No discount, AED 44.66 
